id,entry_time,side,instrument,entry_price,sl_price,target_price,sl_points,target_points,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees,checklist_score,checklist_bias,checklist_details
1,2026-04-16 11:45:14,SELL,NSE:NIFTY26APRFUT,24256.0,24282.7,24189.3,26.7,66.7,2026-04-16 12:00:13,24188.0,TARGET_HIT,68.0,5100.0,6,BEARISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (6/6)
  ✅ 1. PCR Level: PCR 0.71 < 0.75 (Call writers dominant — Bearish)
  ✅ 2. PCR Trend: PCR Falling 0.73 → 0.71 (Bearish momentum)
  ✅ 3. Near-Strike OI: Bearish (2/3) — ATM 24250: CE 5m +168,935 | PE 5m +55,770 | OTM CE +377,715 | OTM PE -83,915
  ✅ 4. Futures Buildup: Short Buildup (OI Chg: +248,605)
  ✅ 5. AI Timeframe Bias: 5m: BEARISH | 15m: BEARISH | 30m: BEARISH
  ✅ 6. Order Flow: Sell dominant (0.0x)

  🔴🔴 ALL 6 CHECKS BEARISH — TRADE ENTRY
──────────────────────────────"
2,2026-04-16 12:06:18,SELL,NSE:NIFTY26APRFUT,24170.0,24196.7,24103.3,26.7,66.7,2026-04-16 14:30:00,24201.3,SL_HIT,-31.3,-2347.5,6,BEARISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (6/6)
  ✅ 1. PCR Level: PCR 0.65 < 0.75 (Call writers dominant — Bearish)
  ✅ 2. PCR Trend: PCR Falling 0.67 → 0.65 (Bearish momentum)
  ✅ 3. Near-Strike OI: Bearish (2/3) — ATM 24150: CE 5m +370,305 | PE 5m +293,280 | OTM CE +1,081,730 | OTM PE -96,395
  ✅ 4. Futures Buildup: Short Buildup (OI Chg: +259,980)
  ✅ 5. AI Timeframe Bias: 5m: BEARISH | 15m: BEARISH | 30m: BEARISH
  ✅ 6. Order Flow: Sell dominant (0.0x)

  🔴🔴 ALL 6 CHECKS BEARISH — TRADE ENTRY
──────────────────────────────"
3,2026-04-17 09:41:13,SELL,NSE:NIFTY26APRFUT,24214.0,24240.7,24147.3,26.7,66.7,2026-04-17 10:03:42,24242.0,SL_HIT,-28.0,-2100.0,6,BEARISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (6/6)
  ✅ 1. PCR Level: PCR 0.74 < 0.75 (Call writers dominant — Bearish)
  ✅ 2. PCR Trend: PCR Falling 0.78 → 0.74 (Bearish momentum)
  ✅ 3. Near-Strike OI: Bearish (3/3) — ATM 24200: CE 5m +892,840 | PE 5m -481,845 | OTM CE +186,550 | OTM PE +154,050
  ✅ 4. Futures Buildup: Short Buildup (OI Chg: +182,540)
  ✅ 5. AI Timeframe Bias: 5m: BEARISH | 15m: BEARISH | 30m: BEARISH
  ✅ 6. Order Flow: Sell dominant (0.0x)

  🔴🔴 ALL 6 CHECKS BEARISH — TRADE ENTRY
──────────────────────────────"
4,2026-04-24 10:23:53,SELL,NSE:NIFTY26APRFUT,23979.2,24005.9,23912.5,26.7,66.7,2026-04-24 11:26:33,23965.0,COUNTER_VIEW_FLIP,14.2,1065.0,5,BEARISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (5/5)
  ✅ 1. PCR Trend: PCR Falling 0.86 → 0.85 (Bearish momentum)
  ✅ 2. Near-Strike OI: Bearish (3/3) — ATM 23950: CE 5m +132,860 | PE 5m -91,975 | OTM CE +274,105 | OTM PE +5,265
  ✅ 3. Futures Buildup: Short Buildup (OI Chg: +655,565)
  ✅ 4. AI Timeframe Bias: 5m: BEARISH | 15m: BEARISH | 30m: BEARISH
  ✅ 5. Order Flow: Sell dominant (0.0x)

  🔴🔴 ALL 5 CHECKS BEARISH — TRADE ENTRY
──────────────────────────────"
5,2026-04-24 11:26:34,BUY,NSE:NIFTY26APRFUT,23969.0,23942.3,24035.7,26.7,66.7,2026-04-24 11:47:35,23952.2,COUNTER_VIEW_FLIP,-16.8,-1260.0,5,BULLISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (5/5)
  ✅ 1. PCR Trend: PCR Rising 0.73 → 0.74 (Bullish momentum)
  ✅ 2. Near-Strike OI: Bullish (2/3) — ATM 23950: CE 5m +34,580 | PE 5m +184,145 | OTM CE +34,190 | OTM PE +277,030
  ✅ 3. Futures Buildup: Long Buildup (OI Chg: +1,191,555)
  ✅ 4. AI Timeframe Bias: 5m: BULLISH | 15m: BULLISH | 30m: BULLISH
  ✅ 5. Order Flow: Buy dominant (29.0x)

  🟢🟢 ALL 5 CHECKS BULLISH — TRADE ENTRY
──────────────────────────────"
6,2026-04-24 11:47:36,SELL,NSE:NIFTY26APRFUT,23945.0,23971.7,23878.3,26.7,66.7,2026-04-24 13:13:16,23878.2,TARGET_HIT,66.8,5010.0,5,BEARISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (5/5)
  ✅ 1. PCR Trend: PCR Falling 0.83 → 0.83 (Bearish momentum)
  ✅ 2. Near-Strike OI: Bearish (2/3) — ATM 23900: CE 5m +42,640 | PE 5m +186,095 | OTM CE +3,900 | OTM PE -58,370
  ✅ 3. Futures Buildup: Short Buildup (OI Chg: +1,398,580)
  ✅ 4. AI Timeframe Bias: 5m: BEARISH | 15m: BEARISH | 30m: BEARISH
  ✅ 5. Order Flow: Sell dominant (0.0x)

  🔴🔴 ALL 5 CHECKS BEARISH — TRADE ENTRY
──────────────────────────────"
7,2026-04-29 10:02:06,BUY,NSE:NIFTY26APRFUT,24315.0,24288.3,24381.7,26.7,66.7,2026-04-29 10:41:06,24315.0,COUNTER_VIEW_FLIP,0.0,0.0,4,BULLISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (4/4)
  ✅ 1. PCR Trend: PCR Rising 1.12 → 1.14 (Bullish momentum)
  ✅ 2. Near-Strike OI: Bullish (2/3) — ATM 24200: CE 5m +233,675 | PE 5m +691,600 | OTM CE +31,590 | OTM PE +491,140
  ✅ 3. AI Timeframe Bias: 5m: BULLISH | 15m: BULLISH | 30m: BULLISH
  ✅ 4. Order Flow: Buy dominant (32.6x)

  🟢🟢 ALL 4 CHECKS BULLISH — TRADE ENTRY
──────────────────────────────"
8,2026-04-29 11:34:38,SELL,NSE:NIFTY26MAYFUT,24400.1,24426.8,24333.4,26.7,66.7,2026-04-29 12:11:13,24430.0,SL_HIT,-29.9,-2242.5,4,BEARISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (4/4)
  ✅ 1. PCR Trend: PCR Falling 1.45 → 1.32 (Bearish momentum)
  ✅ 2. Near-Strike OI: Bearish (2/3) — ATM 24300: CE 5m +158,405 | PE 5m -98,410 | OTM CE +15,470 | OTM PE +37,505
  ✅ 3. AI Timeframe Bias: 5m: BEARISH | 15m: BEARISH | 30m: BEARISH
  ✅ 4. Order Flow: Sell dominant (0.0x)

  🔴🔴 ALL 4 CHECKS BEARISH — TRADE ENTRY
──────────────────────────────"
9,2026-04-29 13:24:19,SELL,NSE:NIFTY26MAYFUT,24410.0,24436.7,24343.3,26.7,66.7,2026-04-29 14:00:03,24343.0,TARGET_HIT,67.0,5025.0,4,BEARISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (4/4)
  ✅ 1. PCR Trend: PCR Falling 1.39 → 1.37 (Bearish momentum)
  ✅ 2. Near-Strike OI: Bearish (3/3) — ATM 24300: CE 5m +106,080 | PE 5m -7,215 | OTM CE +22,750 | OTM PE -7,605
  ✅ 3. AI Timeframe Bias: 5m: BEARISH | 15m: BEARISH | 30m: BEARISH
  ✅ 4. Order Flow: Sell dominant (0.0x)

  🔴🔴 ALL 4 CHECKS BEARISH — TRADE ENTRY
──────────────────────────────"
10,2026-04-30 09:28:24,SELL,NSE:NIFTY26MAYFUT,23935.0,23961.7,23868.3,26.7,66.7,2026-04-30 09:32:38,23962.0,SL_HIT,-27.0,-2025.0,4,BEARISH,"
──────────────────────────────
🎯 INSTITUTIONAL CHECKLIST (4/4)
  ✅ 1. PCR Trend: PCR Falling 1.12 → 1.08 (Bearish momentum)
  ✅ 2. Near-Strike OI: Bearish (2/3) — ATM 23900: CE 5m +1,378,845 | PE 5m +950,690 | OTM CE +529,750 | OTM PE +402,805
  ✅ 3. AI Timeframe Bias: 5m: BEARISH | 15m: BEARISH | 30m: BEARISH
  ✅ 4. Order Flow: Sell dominant (0.0x)

  🔴🔴 ALL 4 CHECKS BEARISH — TRADE ENTRY
──────────────────────────────"
